trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
358,False,"{'a': 0.001, 'e': 0.6990730750065257}",20,0,-74.89761723501903,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
359,False,"{'a': 0.001, 'e': 0.6983743513515736}",25,14,-34.82214341272318,"{0: 7, 1: 1, 2: 2, 3: 1, 4: 0}",1
360,False,"{'a': 0.001, 'e': 0.697676326071031}",20,2,-115.52865452426914,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 3}",1
361,False,"{'a': 0.001, 'e': 0.6969789984668727}",20,14,-12.158891838637592,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
362,False,"{'a': 0.001, 'e': 0.696282367841771}",20,0,-142.19479798550506,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
363,False,"{'a': 0.001, 'e': 0.6955864334990951}",20,10,-12.267663283675935,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 0}",1
364,False,"{'a': 0.001, 'e': 0.6948911947429106}",25,2,-81.17997460890483,"{0: 17, 1: 1, 2: 2, 3: 2, 4: 1}",1
365,False,"{'a': 0.001, 'e': 0.6941966508779789}",30,3,-40.88641758075626,"{0: 22, 1: 1, 2: 3, 3: 0, 4: 1}",1
366,False,"{'a': 0.001, 'e': 0.6935028012097558}",20,0,-95.57822337198104,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",1
367,False,"{'a': 0.001, 'e': 0.6928096450443917}",25,16,-6.89415696040933,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
368,False,"{'a': 0.001, 'e': 0.6921171816887304}",25,0,-36.768405230897585,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
369,False,"{'a': 0.001, 'e': 0.6914254104503085}",20,6,-100.97837216348049,"{0: 8, 1: 3, 2: 0, 3: 1, 4: 2}",1
370,False,"{'a': 0.001, 'e': 0.6907343306373547}",25,11,-26.33813089709533,"{0: 9, 1: 2, 2: 3, 3: 0, 4: 0}",1
371,False,"{'a': 0.001, 'e': 0.690043941558789}",20,7,-13.421659136941132,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 0}",1
372,False,"{'a': 0.001, 'e': 0.6893542425242224}",20,0,-87.65108260025454,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
373,False,"{'a': 0.001, 'e': 0.6886652328439558}",20,0,6.628909611883875,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
374,False,"{'a': 0.001, 'e': 0.6879769118289795}",20,0,-101.46337550299907,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
375,False,"{'a': 0.001, 'e': 0.6872892787909722}",25,2,-112.37892408434355,"{0: 15, 1: 1, 2: 5, 3: 0, 4: 2}",1
376,False,"{'a': 0.001, 'e': 0.686602333042301}",30,0,-88.22825298972796,"{0: 24, 1: 1, 2: 3, 3: 0, 4: 2}",0
377,False,"{'a': 0.001, 'e': 0.6859160738960202}",25,0,-147.15731842908556,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
378,False,"{'a': 0.001, 'e': 0.6852305006658703}",25,0,-29.7125062425039,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
379,False,"{'a': 0.001, 'e': 0.6845456126662782}",20,12,-36.024574474460955,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 1}",1
380,False,"{'a': 0.001, 'e': 0.6838614092123558}",25,0,-94.53084044328196,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
381,False,"{'a': 0.001, 'e': 0.6831778896198997}",20,0,-60.20458340428365,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
382,False,"{'a': 0.001, 'e': 0.6824950532053901}",20,9,-26.566623786891284,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 0}",1
383,False,"{'a': 0.001, 'e': 0.6818128992859905}",25,9,-7.891614416917314,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 0}",1
384,False,"{'a': 0.001, 'e': 0.6811314271795471}",20,4,-10.695337224182875,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
385,False,"{'a': 0.001, 'e': 0.6804506362045877}",25,0,-48.85129261930659,"{0: 19, 1: 1, 2: 2, 3: 3, 4: 0}",0
386,False,"{'a': 0.001, 'e': 0.679770525680321}",30,4,-53.98706970666027,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 1}",1
387,False,"{'a': 0.001, 'e': 0.6790910949266368}",20,10,-37.987888483654615,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
388,False,"{'a': 0.001, 'e': 0.678412343264104}",25,18,5.249071127118934,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
389,False,"{'a': 0.001, 'e': 0.6777342700139711}",30,0,-93.70430255600263,"{0: 21, 1: 1, 2: 6, 3: 1, 4: 1}",0
390,False,"{'a': 0.001, 'e': 0.6770568744981647}",20,0,-81.2089704414808,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",1
391,False,"{'a': 0.001, 'e': 0.6763801560392891}",20,0,-51.679318560738096,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
392,False,"{'a': 0.001, 'e': 0.675704113960626}",20,3,-19.02368041382112,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 0}",1
393,False,"{'a': 0.001, 'e': 0.6750287475861332}",20,5,-42.96248585953513,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 1}",1
394,False,"{'a': 0.001, 'e': 0.6743540562404442}",20,10,-72.80929812063636,"{0: 5, 1: 0, 2: 4, 3: 0, 4: 1}",1
395,False,"{'a': 0.001, 'e': 0.6736800392488677}",20,11,4.135724344994195,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
396,False,"{'a': 0.001, 'e': 0.6730066959373864}",30,16,-49.844543393221905,"{0: 9, 1: 3, 2: 1, 3: 0, 4: 1}",1
397,False,"{'a': 0.001, 'e': 0.6723340256326572}",20,0,-29.47023668374082,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
398,False,"{'a': 0.001, 'e': 0.6716620276620098}",35,14,-42.65913807460186,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 1}",1
399,False,"{'a': 0.001, 'e': 0.6709907013534459}",20,0,-26.716799788257266,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",0
400,False,"{'a': 0.001, 'e': 0.6703200460356393}",20,0,-7.96278687506855,"{0: 15, 1: 5, 2: 0, 3: 0, 4: 0}",0
401,False,"{'a': 0.001, 'e': 0.6696500610379346}",25,0,-36.25134315965296,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
402,False,"{'a': 0.001, 'e': 0.6689807456903467}",35,8,-125.93516471527248,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 2}",1
403,False,"{'a': 0.001, 'e': 0.6683120993235603}",20,0,-41.66929713249102,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
404,False,"{'a': 0.001, 'e': 0.6676441212689289}",20,0,-96.6649750115379,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
405,False,"{'a': 0.001, 'e': 0.6669768108584744}",25,0,-101.23281320465439,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
406,False,"{'a': 0.001, 'e': 0.6663101674248864}",25,0,-114.37469476996276,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
407,False,"{'a': 0.001, 'e': 0.6656441903015212}",30,0,-24.41252945040857,"{0: 24, 1: 2, 2: 4, 3: 0, 4: 0}",0
408,False,"{'a': 0.001, 'e': 0.6649788788224019}",20,0,-44.83027207795922,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
409,False,"{'a': 0.001, 'e': 0.6643142323222168}",30,0,-80.58888478503162,"{0: 20, 1: 4, 2: 5, 3: 0, 4: 1}",0
